u,u_e,mu,p_e,delta,y
1.2,0.05,0.4,0.3,0.5,0.12249999999999998
1.2,0.05,0.5,0.05,0.0,0.04930747922437673
1.2,0.05,0.5,0.05,0.2,0.0210803324099723
1.2,0.05,0.5,0.05,0.4,0.0032132963988919664
1.2,0.05,0.5,0.05,0.5,0.019418282548476457
1.2,0.05,0.5,0.1,0.0,0.4948456790123456
1.2,0.05,0.5,0.1,0.2,0.5408641975308641
1.2,0.05,0.5,0.1,0.4,0.5345987654320987
1.2,0.05,0.5,0.1,0.5,0.5339506172839507
1.2,0.05,0.5,0.2,0.0,0.5080078125
1.2,0.05,0.5,0.2,0.4,0.545
1.2,0.05,0.5,0.2,0.5,0.5253125000000001
1.2,0.05,0.5,0.3,0.0,0.19862244897959183
1.2,0.05,0.5,0.3,0.2,0.5065306122448979
1.2,0.05,0.5,0.3,0.4,0.09683673469387756
1.2,0.05,0.5,0.3,0.5,0.1451530612244898
1.2,0.1,0.1,0.1,0.0,0.0
1.2,0.1,0.1,0.1,0.2,0.0
1.2,0.1,0.1,0.2,0.0,0.50125
1.2,0.1,0.1,0.2,0.2,0.30250000000000005
1.2,0.1,0.1,0.2,0.4,0.8289453125
1.2,0.1,0.1,0.2,0.5,0.6012500000000001
1.2,0.1,0.1,0.3,0.0,0.37734693877551023
1.2,0.1,0.1,0.3,0.2,0.5114795918367347
